blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,wall,wall,wall,wall,wall,wall,blank,blank,blank,blank,blank,blank,blank
blank,blank,wall,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,wall,blank,blank
base b,blank,wall,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,wall,blank,base a
base b,blank,wall,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,wall,blank,base a
blank,blank,wall,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,wall,blank,blank
blank,blank,blank,blank,blank,blank,blank,wall,wall,wall,wall,wall,wall,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
